RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
"",,,,
13 (32),Boston celtics,NBA,"£6,031,926 (£115,999)","$7,841,504 ($150,798)"
14 (29),Houston Rockets,NBA,"£5,980,476 (£115,009)","$7,774,619 ($149,512)"
15 (23),Milwaukee Bucks,NBA,"£5,873,909 (£112,960)","$7,636,082 ($146,848)"
16 (12),San Antonio Spurs,NBA,"£5,807,031 (£111,674)","$7,549,140 ($145,176)"
17 (49),Minnesota Timberwolves,NBA,"£5,706,740 (£109,745)","$7,418,763 ($142,669)"
18 (15),Washington Wizards,NBA,"£5,652,968 (£108,711)","$7,348,859 ($141,324)"
19 (39),Utah Jazz,NBA,"£5,645,592 (£108,569)","$7,339,269 ($141,140)"
20 (7),Memphis Grizzlies,NBA,"£5,586,599 (£107,435)","$7,262,578 ($139,665)"
21 (46),Denver Nuggets,NBA,"£5,360,994 (£103,096)","$6,969,292 ($134,025)"
22 (28),Detroit Tigers,MLB,"£5,332,858 (£102,555)","$6,932,715 ($133,321)"
23 (4),Man Utd,EPL,"£5,241,185 (£100,792)","$6,813,541 ($131,030)"
24 (9),Man city,EPL,"£5,235,917 (£100,691)","$6,806,692 ($130,898)"
25 (31),Los Angeles Lakers,NBA,"£5,235,333 (£100,679)","$6,805,932 ($130,883)"
26 (18),Miami Heat,NBA,"£5,221,321 (£100,410)","$6,787,718 ($130,533)"
27 (37),Bayern Munich,Bundesliga,"£5,184,038(£99,693)","$6,739,250($129,601)"
28 (44),chicago cubs,MLB,"£5,032,204 (£96,773)","$6,541,865 ($125,805)"
29 (10),Orlando Magic,NBA,"£5,027,759 (£96,688)","$6,536,087 ($125,694)"
30 (36),Indiana Pacers,NBA,"£4,980,303 (£95,775)","$6,474,394 ($124,508)"
31 (2),New York Yankees,MLB,"£4,854,393 (£93,354)","$6,310,711 ($121,360)"
32 (41),Juventus,Serie A,"£4,853,467 (£93,336)","$6,309,507 ($121,337)"
33 (13),San Francisco Giants,MLB,"£4,849,760 (£93,265)","$6,304,689 ($121,244)"
34 (16),New York Knicks,NBA,"£4,819,353 (£92,680)","$6,265,159 ($120,484)"
35 (38),Washington Nationals,MLB,"£4,814,857 (£92,593)","$6,259,314 ($120,371)"
36 (26),LA Dodgers,MLB,"£4,664,760 (£89,707)","$6,064,187 ($116,619)"
37 (53),Brooklyn Nets,NBA,"£4,626,771 (£88,976)","$6,014,803 ($115,669)"
38 (27),Sacramento Kings,NBA,"£4,545,112 (£87,406)","$5,908,646 ($113,628)"
39 (34),chelsea,EPL,"£4,451,200 (£85,600)","$5,786,560 ($111,280)"
40 (43),Baltimore Orioles,MLB,"£4,441,873 (£85,421)","$5,774,435 ($111,047)"
41 (42),Phoenix Suns,NBA,"£4,423,622 (£85,070)","$5,750,709 ($110,591)"
42 (8),Dallas Mavericks,NBA,"£4,423,111 (£85,060)","$5,750,044 ($110,578)"
43 (22),Atlanta Hawks,NBA,"£4,395,440 (£84,528)","$5,714,072 ($109,886)"
44 (45),New York Mets,MLB,"£4,374,310 (£84,121)","$5,686,603 ($109,358)"
45 (24),Boston Red Sox,MLB,"£4,324,742 (£83,168)","$5,622,164 ($108,119)"
46 (50),Toronto Blue Jays,MLB,"£4,306,455 (£82,816)","$5,598,392 ($107,661)"
47 (63),Philadelphia 76ers,NBA,"£4,229,340 (£81,333)","$5,498,142 ($105,733)"
48 (47),Arsenal,EPL,"£4,037,222 (£77,639)","$5,248,389 ($100,931)"
49 (30),Texas Rangers,MLB,"£4,036,909 (£77,633)","$5,247,982 ($100,923)"
50 (51),Royal challengers Bangalore,IPL,"£4,022,500(£77,356)","$5,229,250($100,563)"
51 (48),Seattle Mariners,MLB,"£3,851,308 (£74,064)","$5,006,701 ($96,283)"
52 (68),Atletico Madrid,La Liga,"£3,849,130 (£74,022)","$5,003,870 ($96,228)"
53 (52),St Louis cardinals,MLB,"£3,759,744 (£72,303)","$4,887,667 ($93,994)"
54 (40),LA Angels,MLB,"£3,691,432 (£70,989)","$4,798,861 ($92,286)"
55 (60),Liverpool,EPL,"£3,649,862 (£70,190)","$4,744,821 ($91,247)"
56 (71),Houston Astros,MLB,"£3,630,880 (£69,825)","$4,720,144 ($90,772)"
57 (54),Kansas city Royals,MLB,"£3,628,899 (£69,787)","$4,717,568 ($90,722)"
RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
"",,,,
58 (145),Atlanta Braves,MLB,"£3,521,526 (£67,722)","$4,577,984 ($88,038)"
59 (57),Rising Pune Supergiants,IPL,"£3,430,952 (£65,980)","$4,460,238 ($85,774)"
60 (14),chicago Bulls,NBA,"£3,300,623 (£63,474)","$4,290,810 ($82,516)"
61 (108),cleveland Indians,MLB,"£3,186,570 (£61,280)","$4,142,542 ($79,664)"
62 (107),Miami Marlins,MLB,"£3,168,909 (£60,941)","$4,119,582 ($79,223)"
63 (56),Mumbai Indians,IPL,"£3,164,286 (£60,852)","$4,113,571 ($79,107)"
64 (66),Tottenham,EPL,"£3,154,667 (£60,667)","$4,101,067 ($78,867)"
65 (132),Milan,Serie A,"£3,135,877 (£60,305)","$4,076,640 ($78,397)"
66 (55),chicago White Sox,MLB,"£3,010,746 (£57,899)","$3,913,970 ($75,269)"
67 (59),Sunrisers Hyderabad,IPL,"£2,990,119 (£57,502)","$3,887,155 ($74,753)"
68 (72),Kolkata Knight Riders,IPL,"£2,951,667 (£56,763)","$3,837,167 ($73,792)"
69 (61),Delhi Daredevils,IPL,"£2,938,214 (£56,504)","$3,819,679 ($73,455)"
70 (90),West Ham,EPL,"£2,936,870 (£56,478)","$3,817,930 ($73,422)"
71 (70),Washington capitals,NHL,"£2,823,328 (£54,295)","$3,670,326 ($70,583)"
72 (101),Everton,EPL,"£2,806,207 (£53,966)","$3,648,069 ($70,155)"
73 (65),Pittsburgh Pirates,MLB,"£2,799,936 (£53,845)","$3,639,917 ($69,998)"
74 (111),Borussia Dortmund,Bundesliga,"£2,739,148 (£52,676)","$3,560,893 ($68,479)"
75 (58),Minnesota Twins,MLB,"£2,673,408 (£51,412)","$3,475,431 ($66,835)"
76 (92),New York Islanders,NHL,"£2,667,475 (£51,298)","$3,467,717 ($66,687)"
77 (87),Boston Bruins,NHL,"£2,650,000 (£50,962)","$3,445,000 ($66,250)"
78 (112),Dallas Stars,NHL,"£2,639,538 (£50,760)","$3,431,399 ($65,988)"
79 (77),Internazionale,Serie A,"£2,637,754 (£50,726)","$3,429,080 ($65,944)"
80 (85),Detroit Red Wings,NHL,"£2,609,779 (£50,188)","$3,392,713 ($65,244)"
81 (78),chicago Blackhawks,NHL,"£2,598,913 (£49,979)","$3,378,587 ($64,973)"
82 (62),Roma,Serie A,"£2,598,580 (£49,973)","$3,378,154 ($64,965)"
83 (73),Pittsburgh Penguins,NHL,"£2,596,916 (£49,941)","$3,375,991 ($64,923)"
84 (104),Philadelphia Phillies,MLB,"£2,586,343 (£49,737)","$3,362,245 ($64,659)"
85 (81),Minnesota Wild,NHL,"£2,575,753 (£49,534)","$3,348,478 ($64,394)"
86 (83),St Louis Blues,NHL,"£2,559,030 (£49,212)","$3,326,739 ($63,976)"
87 (67),Los Angeles Kings,NHL,"£2,529,013 (£48,635)","$3,287,717 ($63,225)"
88 (79),New York Rangers,NHL,"£2,516,137 (£48,387)","$3,270,978 ($62,903)"
89 (105),Leicester,EPL,"£2,499,120 (£48,060)","$3,248,856 ($62,478)"
90 (94),Vancouver canucks,NHL,"£2,492,893 (£47,940)","$3,240,761 ($62,322)"
91 (75),Arizona Diamondbacks,MLB,"£2,492,596 (£47,935)","$3,240,375 ($62,315)"
92 (74),Montreal canadiens,NHL,"£2,488,040 (£47,847)","$3,234,452 ($62,201)"
93 (84),calgary Flames,NHL,"£2,451,923 (£47,152)","$3,187,500 ($61,298)"
94 (69),colorado Rockies,MLB,"£2,440,230 (£46,928)","$3,172,299 ($61,006)"
95 (76),San Jose Sharks,NHL,"£2,434,866 (£46,824)","$3,165,326 ($60,872)"
96 (144),Valencia,La Liga,"£2,429,818 (£46,727)","$3,158,764 ($60,745)"
97 (88),Tampa Bay Lightning,NHL,"£2,421,990 (£46,577)","$3,148,587 ($60,550)"
98 (137),Toronto Maple Leafs,NHL,"£2,418,701 (£46,513)","$3,144,312 ($60,468)"
99 (120),Napoli,Serie A,"£2,414,867 (£46,440)","$3,139,327 ($60,372)"
100 (93),Anaheim Ducks,NHL,"£2,400,744 (£46,168)","$3,120,967 ($60,019)"
101 (91),Buffalo Sabres,NHL,"£2,398,227 (£46,120)","$3,117,696 ($59,956)"
102 (86),Nashville Predators,NHL,"£2,375,418 (£45,681)","$3,088,043 ($59,385)"
103 (89),Philadelphia Flyers,NHL,"£2,370,903 (£45,594)","$3,082,174 ($59,273)"
104 (154),Sevilla,La Liga,"£2,343,490 (£45,067)","$3,046,537 ($58,587)"
105 (115),Florida Panthers,NHL,"£2,334,833 (£44,901)","$3,035,283 ($58,371)"
106 (95),Ottawa Senators,NHL,"£2,334,448 (£44,893)","$3,034,783 ($58,361)"
RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
107 (80),Gujarat Lions,IPL,"£2,332,203 (£44,850)","$3,031,863 ($58,305)"
108 (100),Oakland Raiders,NFL,"£2,297,689 (£44,186)","$2,986,996 ($57,442)"
109 (138),Atlanta Falcons,NFL,"£2,288,342 (£44,007)","$2,974,845 ($57,209)"
