,FWWC France,FWWC,,,,,
Region,2019,Canada 2015,Diff.,,,,
,(20 minute reach),(20 minute reach),,,,,
Africa & Middle,,,,,,,
,24.0m,12.0m,100%,,,,
East,,,,,,,
Asia,152.2m,141.8m,7%,,,,
Europe,166.6m,70.5m,136%,,,,
N.C. America &,,,,,,,
,77.8m,83.8m,-7%,,,,
Caribbean,,,,,,,
Oceania,2.3m,1.8m,24%,,,,
South America,117.8m,17.9m,560%,,,,
Global Total,540.6m,327.8m,65%,,,,
,,,,,,,
Rank,Match,Stage,"Global LiveAv. Audience(millions)",,,,
1,United States,,v.,,Netherlands,Final,82.18
2,France,,v.,,Brazil,Round of 16,60.67
3,England,,v.,,United States,Semi-Final,43.16
4,Italy,,v.,,Brazil,Group C,42.33
5,France,,v.,,United States,Quarter-Finals,35.78
6,Netherlands,,v.,,Sweden,Semi-Finals,33.61
7,Australia,,v.,,Brazil,Group C,32.16
8,Brazil,,v.,,Jamaica,Group C,30.47
9,Germany,,v.,,Sweden,Quarter-Finals,25.56
10,Italy,,v.,,Netherlands,Quarter-Finals,24.62
