COUNTRY,CONTINENT,TOP AVG BASIC ANNUAL,,AVG BASIC ANNUAL,AVG BASIC ANNUAL
"",,DIVISION FIRST TEAM PAY (£),,FIRST TEAM PAY (€),FIRST TEAM PAY ($)
ENGLAND,EUROPE,PREMIER LEAGUE,"£2,990,726","€3,379,520","US$3,935,197"
SPAIN,EUROPE,LA LIGA,"£2,201,057","€2,487,194","US$2,896,151"
ITALY,EUROPE,SERIE A,"£1,519,885","€1,717,470","US$1,999,865"
GERMANY,EUROPE,BUNDESLIGA,"£1,396,575","€1,578,130","US$1,837,613"
FRANCE,EUROPE,LIGUE 1,"£989,776","€1,118,447","US$1,302,347"
CHINA,ASIA,SUPER LEAGUE,"£799,212","€903,110","US$1,051,603"
RUSSIA,EUROPE,PREMIER LEAGUE,"£666,569","€753,223","US$877,071"
TURKEY,EUROPE,SÜPER LIG,"£656,675","€742,043","US$864,053"
BRAZIL,S AMERICA,BRASILEIRÃO,"£509,758","€576,027","US$670,740"
CANADA,N AMERICA,MLS (3 OF 23 CLUBS),"£395,108","€446,472","US$519,883"
S.ARABIA,ASIA,PRO LEAGUE,"£386,026","€436,209","US$507,933"
BELGIUM,EUROPE,FIRST DIVISION A,"£306,233","€346,043","US$402,941"
MEXICO,N AMERICA,LIGA MX,"£305,948","€345,721","US$402,566"
ARGENTINA,S AMERICA,PRIMERA DIVISION,"£288,079","€325,529","US$379,054"
PORTUGAL,EUROPE,PRIMEIRA LIGA,"£271,728","€307,053","US$357,540"
USA,N AMERICA,MLS (20 OF 23 CLUBS),"£268,272","€303,147","US$352,992"
SWITZERLAND,EUROPE,SUPER LEAGUE,"£246,253","€278,266","US$324,020"
COUNTRY CONTINENT,TOP DIVISION AVG BASIC ANNUAL,,,AVG BASIC ANNUAL,AVG BASIC ANNUAL
"",,FIRST TEAM PAY (£),,FIRST TEAM PAY (€),FIRST TEAM PAY ($)
NETHERLANDS EUROPE,EREDIVISIE,,"£245,849","€277,809","US$323,488"
JAPAN ASIA,J-LEAGUE,,"£239,431","€270,557","US$315,043"
AUSTRIA EUROPE,BUNDESLIGA,,"£177,162","€200,193","US$233,110"
SCOTLAND EUROPE,PREMIERSHIP,,"£176,236","€199,147","US$231,891"
UKRAINE EUROPE,PREMIER LEAGUE,,"£169,237","€191,238","US$222,682"
GREECE EUROPE,SUPERLEAGUE,,"£129,664","€146,520","US$170,612"
DENMARK EUROPE,SUPERLIGA,,"£120,094","€135,706","US$158,020"
KAZAKHSTAN EUROPE,PREMIER LEAGUE,,"£112,869","€127,542","US$148,513"
ISRAEL EUROPE,PREMIER LEAGUE,,"£109,338","€123,552","US$143,867"
SOUTH KOREA ASIA,K LEAGUE,,"£100,998","€114,128","US$132,893"
AUSTRALIA ASIA,A-LEAGUE,,"£99,928","€112,919","US$131,485"
SWEDEN EUROPE,ALLSVENSKAN,,"£87,152","€98,482","US$114,675"
INDIA ASIA,SUPER LEAGUE,,"£81,864","€92,506","US$107,717"
POLAND EUROPE,EKSTRAKLASA,,"£80,602","€91,080","US$106,056"
CROATIA EUROPE,FIRST FOOTBALL LEAGUE,,"£79,982","€90,380","US$105,240"
ROMANIA EUROPE,LIGA 1,,"£79,793","€90,166","US$104,992"
CHILE S AMERICA,PRIMERA DIVISION,,"£74,540","€84,230","US$98,080"
COUNTRY CONTINENT,TOP DIVISION AVG BASIC ANNUAL,,,AVG BASIC ANNUAL,AVG BASIC ANNUAL
"",,FIRST TEAM PAY (£),,FIRST TEAM PAY (€),FIRST TEAM PAY ($)
