,Population ,Global Gender Gap Ranking 2018,FIFA WF Ranking 2019,Female players playing organized football,licesned coaches,licensed referees,Women's soccer strategy? ,Mixedgender football? 
Afghanistan Football Federation,"35,530,000",,142,"5,000",70,,NO,NO
The Football Association of Albania,"2,896,000",34,77,"1,582","1,385",,NO,YES
National Federation America Samoa,"55,000",,125,500,24,14,NO,YES
Federacio Andorrana de Futbol,"70,000",,153,199,283,60,YES,YES
Federacao Angolana de Futebol,"25,021,000",125,,750,26,205,NO,NO
Anguilla Football Association,"14,000",,,370,70,,YES,YES
Asociacion del Futbol Argentino,"43,416,000",36,37,"27,911","7,940",550,YES,YES
Football Federation of Armenia,"3,017,000",98,,"1,060","2,654",121,NO,YES
Arubaanse Voetbal Bond,"105,264",,154,"141,487","2,958","53,797",NO,YES
Football Federation Australia,"23,968,000",39,6,140,55,35,YES,YES
Osterreichischer FussballBund,"8,544,000",53,23,"59,133","4,826","2,861",YES,YES
Associaton of Football Federations of Azerbaijan,"9,753,000",97,,"6,603",628,494,YES,YES
Bahamas Football Association,"388,000",30,,"1,500",40,50,NO,YES
Bahrain Football Association,"1,377,000",132,82,250,385,155,NO,YES
Bangladesh Football Federation,"160,995,000",48,127,"12,000",500,"3,065",YES,NO
Barbados Football Association,"284,000",21,132,150,100,70,NO,YES
Belarus Football Federation,"9,495,000",28,55,"18,461",444,285,NO,YES
Union Royale Belge des Societes de FootballAssociation,"11,299,000",32,20,"36,283","5,835",308,YES,YES
Football Federation of Belize,"359,000",111,,"1,000",125,,YES,YES
Bermuda Football Association,"62,000",,131,335,230,35,YES,YES
Bhutan Football Federation,"774,000",122,150,"10,000",175,45,YES,NO
Federacion Boliviana de Futbol,"10,724,000",25,92,"12,534",407,17,NO,YES
Nogometni/Fudbalski Savez Bosne i Hercegovine,"3,810,000",62,68,"1,152","2,005","2,061",NO,YES
Botswana Football Association,"2,262,000",55,151,"1,860",240,,NO,NO
Confederacado Brasileira de Futebol,"207,847,000",95,10,"15,000","1,368",566,YES,YES
British Virgin Islands Football Association ,"30,000",,,,22,11,NO,YES
National Football Association of Brunei Darussalam,"423,000",90,,1000,227,52,NO,NO
Bulgarian Football Union,"7,149,000",18,78,"3,373","1,320","1,262",NO,NO
Federation Burkinabe de FootBall,"18,105,000",129,122,"1,075",413,175,YES,YES
Federation de Football du Burundi,"11,178,000",31,,600,550,400,YES,NO
Football Federation of Cambodia,"15,577,000",93,,400,150,200,NO,YES
Federation Camerounaise de Football,"23,344,000",57,46,"1,517","3,617","1,392",YES,NO
The Canadian Soccer Association,"35,939,000",16,5,"290,087","37,116","21,000",YES,YES
Federaco Caboverdiana de Futebol,"546,000",72,,"1,350",150,300,NO,YES
Cayman Islands Football Association,"59,000",,,450,30,40,NO,NO
Federation Tchadienne de Football,"59,000",,,"1,086",283,950,YES,YES
Federacion de Futbol de Chile,"17,948,000",54,39,"9,000","1,132",634,YES,NO
Chinese Football Association,"1,376,048,000",103,16,"100,000","56,551","8,130",YES,YES
Chinese Taipei Football Association,"23,519,000",,40,500,"1,500","1,568",NO,YES
Cook Islands Football Association,"20,000",,109,580,42,28,NO,YES
Federacion Costarricense du Futbol,"4,897,000",22,36,"5,524","3,000",36,YES,YES
Federacion Colombiana de Futbol,"48,228,000",40,26,"12,732",,"1,360",YES,NO
Federation Comorienne de Football,"788,000",,,492,659,205,YES,YES
Federation Congolaise de Football,"4,620,000",,100,300,641,96,NO,NO
Croatian Football Federation,"4,240,000",59,56,"1,721","3,938","3,189",YES,NO
Asociacion de Futbol de Cuba,"11,389,000",23,93,600,2,12,YES,YES
Federashon Futbol Korsou,"157,000",,152,550,80,52,YES,YES
Cyprus Football Association,"1,165,000",92,115,480,"1,096",244,NO,YES
Fotbalova Asociace Ceske republiky,"10,543,000",82,29,"16,223","9,734","4,231",YES,YES
Dansk BoldspilUnion,"5,669,000",13,17,"61,668","2,507","3,475",NO,YES
Federation Djiboutienne de Football,"887,000",,,250,30,75,YES,NO
Dominica Football Association,"72,000",,139,440,48,25,YES,NO
Federacion Dominicana de Futbol,"10,528,000",106,74,500,6,40,YES,YES
Federacion Ecuatoriana de Futbol,"16,144,000",41,62,"1,356",129,725,NO,YES
Egyptian Football Association,"91,508,000",135,,"1,576","8,806","3,000",YES,NO
Federacion Salvadorena de Futbol,"6,126,000",87,104,"10,524",900,"1,415",YES,YES
The Football Association,"54,786,000",15,3,"120,557","65,421","26,853",NO,YES
Eritrean National Football Federation,"5,227,000",,,"2,620",60,500,YES,YES
Estonian Football Association,"1,312,000",33,99,"3,320",719,321,NO,YES
Eswatini Football Association,"1,286,000",80,,331,137,54,YES,YES
Ethiopian Football Federation,"99,390,000",117,117,"1,025","1,000",15,YES,YES
The Faroe Islands Football Association,"48,000",,83,"1,500",665,141,YES,YES
Fiji Football Association,"892,000",106,71,"1,000",80,160,YES,YES
Suomen Palloliitto,"5,503,000",4,32,"39,318","6,491","2,786",YES,YES
Federation Francaise de Football,"64,395,000",12,4,"142,237","12,746","29,405",YES,YES
Football Federation of FYR Macedonia,"2,078,000",66,124,"1,981",978,423,YES,YES
Federation Gabonaise de Football,"1,725,000",,,"1,049",80,265,YES,NO
Gambia Football Federation,"1,990,000",120,,"1,800",180,45,YES,YES
Georgian Football Federation,"3,999,000",99,112,"2,471","2,590",95,NO,YES
Deutscher FussballBund,"80,688,000",14,2,"197,575","63,869",131,NO,YES
Ghana Football Association,"27,409,000",89,51,"4,169","1,379","6,000",YES,NO
Gibraltar Football Association,"32,000",,,405,47,80,NO,YES
Hellenic Football Federation,"10,954,000",78,67,"7,331","4,100","4,762",YES,YES
Grenada Football Association,"106,000",,141,400,99,40,YES,YES
Guam Football Association,"169,000",,81,"1,739",158,100,NO,YES
Federation Guineenne de Football,"12,720,000",116,,660,80,374,YES,NO
Guyana Football Federation,"767,000",,89,560,123,45,YES,NO
Federation Haitienne de Football,"10,711,000",,72,"7,000",200,400,YES,YES
Federacion Nacional Autonoma de Futbol de Honduras,"8,075,000",68,,"12,600","1,141",143,YES,YES
Hong Kong Football Association,"7,287,000",,76,"4,600",810,414,YES,YES
Hungarian Football Federation,"9,855,000",102,45,"38,532","8,138","2,760",YES,YES
Knattspyrnusamband Islands,"329,000",1,22,"8,180",774,"1,047",NO,YES
All India Football Federation,"1,311,050,000",108,63,"14,899","9,000","7,530",YES,YES
Football Association of Indonesia,"264,000,000",,86,"1,300","2,828",296,YES,YES
Islamic Republic of Iran Football Federation,"79,109,000",142,66,970,"35,589","50,800",YES,NO
Iraqi Football Association,"36,423,000",147,,500,50,350,YES,NO
The Israel Football Association,"8,064,000",46,63,"1,383","1,632",744,NO,YES
Federazione Italiana Giuoco Calcio,"59,797,000",70,15,"69,597","53,014","24,502",YES,YES
Jamaica Football Federation,"2,793,000",44,53,"4,000",814,220,YES,YES
Japan Football Association,"126,573,000",110,7,"390,000","83,834","298,832",YES,YES
Jordan Football Association,"7,594,000",138,54,"1,500",950,350,YES,NO
Kazakhstan Football Federation,"17,625,000",60,72,"66,749",986,253,YES,YES
Football Kenya Federation,"49,700,000",76,138,"20,000",199,"1,330",YES,YES
DPR Korea Football Association,"25,155,000",,11,"18,580",507,168,YES,NO
Korea Football Association,"50,293,000",,14,"4,200","18,493","8,414",NO,YES
Football Federation of Kosovo,"1,797,000",,123,321,338,601,YES,YES
Kuwait Football Association,"4,137,000",126,,500,600,135,YES,NO
Football Federation of the Kyrgyz Republic,"5,939,000",86,,"1,500",300,90,YES,NO
Lao Football Federation,"6,802,000",26,,"1,021",194,77,YES,NO
Latvian Football Federation,"1,970,000",17,93,"1,818",623,513,YES,YES
Lebanese Football Association,"5,850,000",140,135,767,500,145,YES,NO
Lesotho Football Federation,"2,135,000",81,146,500,141,134,YES,NO
Liberia Football Association,"4,503,000",96,,750,630,429,YES,YES
Liechtensteiner Fussballverband,"37,000",,,268,97,46,NO,YES
Lithuanian Football Federation,"2,878,000",24,107,"2,628",562,215,YES,YES
Federation Luxembourgeoise de Football,"567,000",61,113,"4,756",343,248,NO,YES
Macau Football Association,"587,000",,,157,227,5,NO,NO
Federation Malagasy de Football,"4,235,000",84,155,"3,150",470,"1,600",YES,NO
Football Association of Malawi,"17,215,000",112,147,"6,000","1,117","1,289",YES,NO
Football Association of Malaysia,"30,331,000",101,90,"1,000","3,000",225,YES,YES
Football Association of Maldives,"436,330",113,136,"10,000","1,000",257,YES,NO
Federation Malienne de Football,"17,599,000",143,85,975,350,75,YES,NO
Malta Football Association,"418,000",91,101,"1,282",567,201,YES,YES
Fedation de FootBall de la Rep. Islamique de Mauritanie,"4,067,000",136,,524,30,500,YES,YES
Mauritius Football Association,"1,273,000",109,,800,130,90,YES,YES
Federacion Mexicana de Futbol Association ,"127,017,000",50,26,"50,000","4,421",660,YES,NO
Football Association of Moldova,"4,068,000",35,95,"11,736",658,114,YES,YES
Mongolian Football Federation,"2,959,000",58,118,512,200,50,YES,NO
Football Association of Montenegro,"625,000",69,97,525,637,334,YES,YES
Federation Royale Marocaine de Football,"34,377,000",137,79,"3,255",,,YES,NO
Namibia Football Association,"2,458,000",10,128,"20,000",179,350,NO,YES
AllNepal Football Association,"28,513,000",105,103,"1,000",377,52,YES,YES
